OBJECTID,Field1,UN1,E,N,Ellps Height (m),Latitude,Longitude,gravity Geoid Height (m),UN
204,41PL-325-053,-97.908,409116,603853,-65.986,7.93912,79.9494,-96.51,1.398
205,41PL-325-059,-98.006,407050,606028,-65.124,7.95875,79.9306,-96.53,1.476
206,41PL-325-064,-98.063,405401,607789,-70.581,7.97464,79.9156,-96.55,1.513
207,41PL-334-007,-97.516,424417,631141,-48.376,8.18612,80.0878,-96.16,1.356
208,41PL-334-014,-97.561,422340,628282,-32.605,8.16023,80.069,-96.21,1.351
209,41PL-334-024,-97.603,418725,624816,-39.891,8.12883,80.0362,-96.29,1.313
210,41PL-334-030,-97.611,416864,622487,-36.227,8.10774,80.0194,-96.32,1.291
211,41PL-334-036,-97.59,414984,620222,-52.803,8.08723,80.0023,-96.36,1.23
212,41PL-334-041,-97.671,413149,618539,-65.897,8.07198,79.9857,-96.39,1.281
213,41PL-334-047,-97.76,410618,617017,-74.813,8.05818,79.9628,-96.44,1.32
214,41PL-334-054,-97.872,407362,615974,-81.819,8.04869,79.9333,-96.49,1.382
215,41PL-334-060,-97.966,404532,615016,-73.406,8.03997,79.9076,-96.54,1.426
216,41PL-334-066,-97.973,401618,614482,-41.032,8.03509,79.8812,-96.59,1.383
217,41PL-334-073,-97.998,398878,613230,-82.457,8.02371,79.8564,-96.65,1.348
218,41TL-020-002,-98.466,398623,532540,-96.9711,7.29413,79.8556,-97.1,1.366
219,41TL-020-012,-98.307,403543,532963,-87.8112,7.29804,79.9002,-96.89,1.417
220,41TL-020-020,-98.161,407456,532742,-75.1982,7.29611,79.9356,-96.75,1.411
221,42PL-305-008,-97.997,407044,553784,-87.219,7.48637,79.9315,-96.65,1.347
222,42PL-312-011,-98.018,406884,548204,-77.693,7.43591,79.9302,-96.67,1.348
223,42PL-325-005,-97.774,426733,585406,-37.374,7.77261,80.1095,-96.12,1.654
224,42PL-325-013,-97.85,424222,588178,-37.759,7.79764,80.0866,-96.19,1.66
225,42PL-325-017,-97.907,422827,589611,-32.394,7.81057,80.074,-96.23,1.677
226,42PL-325-026,-98.045,419991,592833,-35.989,7.83966,80.0482,-96.31,1.735
227,42PL-328-013,-95.892,460690,550142,58.6347,7.4541,80.4176,-94.6,1.292
228,42PL-328-032,-95.318,469363,544683,70.1051,7.40479,80.4962,-93.99,1.328
229,42PL-328-036,-95.274,471148,543605,81.8852,7.39505,80.5124,-93.87,1.404
230,42PL-331-008,-96.268,451667,556897,15.12,7.51511,80.3358,-95.1,1.168
231,42PL-331-020,-96.635,447435,561728,-9.396,7.55875,80.2974,-95.31,1.325
232,42PL-331-032,-96.62,442801,567187,-8.422,7.60807,80.2553,-95.52,1.1
233,42PL-331-036,-96.991,441582,568747,-5.23,7.62216,80.2443,-95.57,1.421
234,42PL-331-044,-96.997,439018,572390,-25.229,7.65507,80.221,-95.68,1.317
235,42PL-331-053,-97.012,436092,575691,-30.695,7.68489,80.1944,-95.79,1.222
236,42PL-331-065,-97.346,431160,578964,-52.433,7.71442,80.1497,-95.96,1.386
237,42PL-331-073,-97.417,428193,581823,-47.426,7.74023,80.1227,-96.06,1.357
238,42SL-422-011,-97.762,408589,561058,-64.216,7.55216,79.9454,-96.59,1.172
239,42TL-020-026,-98.063,409720,534597,-66.6116,7.31292,79.9561,-96.65,1.413
240,42TL-020-032,-97.998,412392,535721,-78.0456,7.32313,79.9803,-96.54,1.458
241,42TL-020-040,-97.72,416058,536695,-72.4049,7.33199,80.0135,-96.4,1.32
242,42TL-020-058,-97.402,424845,535699,-63.3295,7.32311,80.093,-96.03,1.372
243,42TL-020-071,-97.257,430573,537085,-32.9596,7.33572,80.1449,-95.79,1.467
244,42TL-020-076,-97.19,432896,537514,-56.2679,7.33963,80.1659,-95.7,1.49
245,51PL-312-063,-97.993,399004,529289,-91.181,7.26474,79.8591,-97.11,0.883
246,51PL-312-068,-98.148,397929,527201,-92.475,7.24584,79.8494,-97.18,0.968
247,51PL-312-083,-98.238,400814,524732,-91.334,7.22357,79.8756,-97.07,1.168
248,51PL-312-094,-98.036,405860,525725,-88.194,7.23264,79.9213,-96.85,1.186
249,51PL-312-104,-97.868,410608,525669,-74.322,7.23221,79.9643,-96.66,1.208
250,51SL-411-006,-97.884,410572,522433,-76.873,7.20295,79.964,-96.67,1.214
251,51SL-411-025,-98.052,406332,514108,-91.655,7.1276,79.9257,-96.88,1.172
